INFO 2024-04-26 17:08:59,420 views 68983 6131855360 Head or tails page accessed
INFO 2024-04-26 17:08:59,421 basehttp 68983 6131855360 "GET /random/headtail/ HTTP/1.1" 200 5
INFO 2024-04-26 17:08:59,680 views 68983 6131855360 Head or tails page accessed
INFO 2024-04-26 17:08:59,680 basehttp 68983 6131855360 "GET /random/headtail/ HTTP/1.1" 200 5
INFO 2024-04-26 17:08:59,869 views 68983 6131855360 Head or tails page accessed
INFO 2024-04-26 17:08:59,870 basehttp 68983 6131855360 "GET /random/headtail/ HTTP/1.1" 200 5
INFO 2024-04-26 17:09:00,048 views 68983 6131855360 Head or tails page accessed
INFO 2024-04-26 17:09:00,048 basehttp 68983 6131855360 "GET /random/headtail/ HTTP/1.1" 200 5
INFO 2024-04-26 17:09:00,217 views 68983 6131855360 Head or tails page accessed
INFO 2024-04-26 17:09:00,218 basehttp 68983 6131855360 "GET /random/headtail/ HTTP/1.1" 200 5
INFO 2024-04-26 17:09:00,377 views 68983 6131855360 Head or tails page accessed
INFO 2024-04-26 17:09:00,377 basehttp 68983 6131855360 "GET /random/headtail/ HTTP/1.1" 200 5
INFO 2024-04-26 17:09:09,992 autoreload 68983 8302721728 /Users/ainurshamsutdinov/Projects/geekbrains/django/1-seminar-django/seminar/randomapp/views.py changed, reloading.
INFO 2024-04-26 17:09:10,176 autoreload 69037 8302721728 Watching for file changes with StatReloader
INFO 2024-04-26 17:09:10,741 views 69037 6161166336 Head or tails page accessed
INFO 2024-04-26 17:09:10,742 basehttp 69037 6161166336 "GET /random/headtail/ HTTP/1.1" 200 5
INFO 2024-04-26 17:09:11,299 views 69037 6161166336 Head or tails page accessed
INFO 2024-04-26 17:09:11,299 basehttp 69037 6161166336 "GET /random/headtail/ HTTP/1.1" 200 5
INFO 2024-04-26 17:09:11,867 views 69037 6161166336 Head or tails page accessed
INFO 2024-04-26 17:09:11,867 basehttp 69037 6161166336 "GET /random/headtail/ HTTP/1.1" 200 5
INFO 2024-04-26 17:09:12,179 views 69037 6161166336 Head or tails page accessed
INFO 2024-04-26 17:09:12,180 basehttp 69037 6161166336 "GET /random/headtail/ HTTP/1.1" 200 5
INFO 2024-04-26 17:09:12,492 views 69037 6161166336 Head or tails page accessed
INFO 2024-04-26 17:09:12,493 basehttp 69037 6161166336 "GET /random/headtail/ HTTP/1.1" 200 5
INFO 2024-04-26 17:09:12,695 views 69037 6161166336 Head or tails page accessed
INFO 2024-04-26 17:09:12,695 basehttp 69037 6161166336 "GET /random/headtail/ HTTP/1.1" 200 5
INFO 2024-04-26 17:09:12,896 views 69037 6161166336 Head or tails page accessed
INFO 2024-04-26 17:09:12,896 basehttp 69037 6161166336 "GET /random/headtail/ HTTP/1.1" 200 5
INFO 2024-04-26 17:09:13,092 views 69037 6161166336 Head or tails page accessed
INFO 2024-04-26 17:09:13,093 basehttp 69037 6161166336 "GET /random/headtail/ HTTP/1.1" 200 5
INFO 2024-04-26 17:09:13,267 views 69037 6161166336 Head or tails page accessed
INFO 2024-04-26 17:09:13,268 basehttp 69037 6161166336 "GET /random/headtail/ HTTP/1.1" 200 5
INFO 2024-04-26 17:09:13,460 views 69037 6161166336 Head or tails page accessed
INFO 2024-04-26 17:09:13,461 basehttp 69037 6161166336 "GET /random/headtail/ HTTP/1.1" 200 5
INFO 2024-04-26 17:09:13,662 views 69037 6161166336 Head or tails page accessed
INFO 2024-04-26 17:09:13,663 basehttp 69037 6161166336 "GET /random/headtail/ HTTP/1.1" 200 5
INFO 2024-04-26 17:09:13,875 views 69037 6161166336 Head or tails page accessed
INFO 2024-04-26 17:09:13,876 basehttp 69037 6161166336 "GET /random/headtail/ HTTP/1.1" 200 5
INFO 2024-04-26 17:09:14,045 views 69037 6161166336 Head or tails page accessed
INFO 2024-04-26 17:09:14,045 basehttp 69037 6161166336 "GET /random/headtail/ HTTP/1.1" 200 5
INFO 2024-04-26 17:09:14,247 views 69037 6161166336 Head or tails page accessed
INFO 2024-04-26 17:09:14,248 basehttp 69037 6161166336 "GET /random/headtail/ HTTP/1.1" 200 5
INFO 2024-04-26 17:11:17,674 autoreload 69037 8302721728 /Users/ainurshamsutdinov/Projects/geekbrains/django/1-seminar-django/seminar/randomapp/views.py changed, reloading.
INFO 2024-04-26 17:11:17,843 autoreload 69053 8302721728 Watching for file changes with StatReloader
INFO 2024-04-26 17:11:20,902 views 69053 6189494272 Head or tails page accessed Tails
ERROR 2024-04-26 17:11:20,944 log 69053 6189494272 Internal Server Error: /random/headtail/
Traceback (most recent call last):
  File "/Users/ainurshamsutdinov/Projects/geekbrains/django/1-seminar-django/.venv/lib/python3.12/site-packages/django/core/handlers/exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "/Users/ainurshamsutdinov/Projects/geekbrains/django/1-seminar-django/.venv/lib/python3.12/site-packages/django/utils/deprecation.py", line 136, in __call__
    response = self.process_response(request, response)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/ainurshamsutdinov/Projects/geekbrains/django/1-seminar-django/.venv/lib/python3.12/site-packages/django/middleware/clickjacking.py", line 27, in process_response
    if response.get("X-Frame-Options") is not None:
       ^^^^^^^^^^^^
AttributeError: 'str' object has no attribute 'get'
ERROR 2024-04-26 17:11:20,945 basehttp 69053 6189494272 "GET /random/headtail/ HTTP/1.1" 500 61426
INFO 2024-04-26 17:12:00,406 autoreload 69053 8302721728 /Users/ainurshamsutdinov/Projects/geekbrains/django/1-seminar-django/seminar/randomapp/views.py changed, reloading.
INFO 2024-04-26 17:12:00,561 autoreload 69063 8302721728 Watching for file changes with StatReloader
INFO 2024-04-26 17:12:02,489 views 69063 6128365568 Head or tails page accessed Tails
INFO 2024-04-26 17:12:02,490 basehttp 69063 6128365568 "GET /random/headtail/ HTTP/1.1" 200 21
INFO 2024-04-26 17:12:04,617 views 69063 6128365568 Head or tails page accessed Heads
